index,Ticker,Company,Sector,Subsector,Annual LogReturn,E,Risk
0,TGT,11 88 0 SOLUTIONS AG,Telecommunication,Telecommunication Services,0.7413527939997637,0.0029535967888436802,0.020980183245111424
1,UUU,3U HOLDING AG,Industrial,Industrial Products & Services,-0.4410752067349811,-0.0017572717399800043,0.04112523527220114
2,VSC,4SC AG,Pharma & Healthcare,Biotechnology,-0.27126056427424033,-0.0011845439487958094,0.017600848187023243
3,ARL,AAREAL BANK AG,Banks,Mortgage Banks,0.46815655541736856,0.0018651655594317472,0.03484830296335717
4,APM,"AD PEPPER MEDIA   EO 0,05",Media,Advertising,0.1929787008268653,0.0007688394455253598,0.037671276038183404
5,ADS,ADIDAS AG NA O.N.,Consumer,Clothing & Footwear,-0.2461924176025092,-0.000980846285268961,0.021666100795039462
6,AIR,AIRBUS,Industrial ,Heavy Machinery,0.24994749048203718,0.0009958067349881959,0.021272625321882628
7,ALV,ALLIANZ SE NA O.N.,Insurance,Insurance,0.26626621308790466,0.0010608215660872695,0.020219245313227465
8,BSL,BASLER AG O.N.,Industrial,Advanced Industrial Equipment,0.11884441618295036,0.00047348372981255123,0.007292194612722308
9,BST,BASTEI LUEBBE AG  O.N.,Media,Publishing & Printing,0.3020925810058155,0.0012035560996247628,0.01302092461075472
10,GBF,BILFINGER SE O.N.,Industrial ,Industrial Products & Services ,0.09001937202565194,0.0003586429164368603,0.00246824728927049
11,BIO,BIOTEST AG ST O.N.,Pharma & Healthcare,Pharmatceuticals,0.529411267094633,0.002109208235436785,0.019308903859799456
12,BVB,BORUSSIA DORTMUND,Media,Movies & Entertainment,0.23438671513161613,0.002170247362329779,0.022019079682768273
13,COP,COMPUGROUP MED. NA O.N.,Software,Software,0.08644288519528784,0.0003443939649214655,0.017621483346459917
14,CSQ,CREDITSHELF AG  IA O.N.,Financial Services,Diversified Financial,0.33361314775886614,0.0013291360468480722,0.008387635560437529
15,DEX,DELTICOM AG  NA O.N.,Retail,"Retail, Internet",0.28220933990718877,0.001124339999630234,0.006125806355396577
16,DMRE,DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG,Financial Services,Real Estate,0.0605608340230992,0.0003604811548994,0.009600791549177841
19,DBD,"DIEBOLD NIXDORF DL 1,25",Technology,Electronic Components & Hardware,1.7723869581387357,0.007061302622066676,0.05826469582109201
20,GIL,DMG MORI AG O.N.,Industrial,Industrial Machinery,0.04636975649441105,0.00018474006571478506,0.020089751854749975
21,PBB,DT.PFANDBRIEFBK AG,Banks,Credit Banks,0.09540733058215102,0.00038010888678147815,0.0035730076279074942
22,DTE,DT.TELEKOM AG NA,Telecommunication,Fixed-Line Telecommunication,0.22447078447691257,0.0008943059142506477,0.008239505538462456
23,EVK,EVONIK INDUSTRIES NA O.N.,Chemicals,"Chemicals, Specialty",-0.7451000061045795,-0.004027567600565295,0.04848854230272053
